window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
252,002475,立讯精密,电子,600887,伊利股份,食品饮料,False,0,18,0.0,0.0,0.0,,
252,002475,立讯精密,电子,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,002475,立讯精密,电子,601318,中国平安,非银金融,False,9,18,0.009471586023096404,0.009471586023096404,0.5,0.018943172046192808,0.018943172046192808
252,002475,立讯精密,电子,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
252,002475,立讯精密,电子,603501,韦尔股份,电子,True,18,18,0.2287965300953544,0.2287965300953544,1.0,0.2287965300953544,0.2287965300953544
252,600030,中信证券,非银金融,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,15,18,0.022679196554542615,0.022679196554542615,0.8333333333333334,0.02721503586545114,0.02721503586545114
252,600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,12,18,0.012400240401749018,0.012400240401749018,0.6666666666666666,0.018600360602623527,0.018600360602623527
252,600030,中信证券,非银金融,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,600030,中信证券,非银金融,601318,中国平安,非银金融,True,18,18,0.23957041347686886,0.23957041347686886,1.0,0.23957041347686886,0.23957041347686886
252,600030,中信证券,非银金融,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
252,600030,中信证券,非银金融,603501,韦尔股份,电子,False,18,18,0.16489270168828474,0.16489270168828474,1.0,0.16489270168828474,0.16489270168828474
252,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,18,18,0.06314601436117166,0.06314601436117166,1.0,0.06314601436117166,0.06314601436117166
252,600036,招商银行,银行,600887,伊利股份,食品饮料,False,0,18,0.0,0.0,0.0,,
252,600036,招商银行,银行,601288,农业银行,银行,True,18,18,0.039360408220390795,0.039360408220390795,1.0,0.039360408220390795,0.039360408220390795
252,600036,招商银行,银行,601318,中国平安,非银金融,False,18,18,0.15883533575706285,0.15883533575706285,1.0,0.15883533575706285,0.15883533575706285
252,600036,招商银行,银行,601398,工商银行,银行,True,18,18,0.23192953320365473,0.23192953320365473,1.0,0.23192953320365473,0.23192953320365473
252,600036,招商银行,银行,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
252,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.18092011318163181,0.18092011318163181,1.0,0.18092011318163181,0.18092011318163181
252,600519,贵州茅台,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
