analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2020-01-23,120,2020-02-28,False,3647,3647,20,20,1.0,3774.0,17,8,8,0,0,1.0,1.0,1.0,0.004661365505895256,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-02-28,120,2020-03-31,False,3657,3657,22,22,1.0,3795.0,201,30,30,0,0,1.0,1.0,1.0,0.054963084495488104,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-03-31,120,2020-04-30,False,3668,3668,21,21,1.0,3808.0,283,87,87,0,0,1.0,1.0,1.0,0.07715376226826609,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-04-30,120,2020-05-29,False,3700,3700,18,18,1.0,3832.0,313,61,61,0,0,1.0,1.0,1.0,0.08459459459459459,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-05-29,120,2020-06-30,False,3715,3715,20,20,1.0,3850.0,313,71,71,0,0,1.0,1.0,1.0,0.08425302826379542,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-06-30,120,2020-07-31,False,3729,3729,23,23,1.0,3875.0,298,51,51,0,0,1.0,1.0,1.0,0.07991418610887638,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-07-31,120,2020-08-31,False,3752,3752,21,21,1.0,3920.0,191,41,41,0,0,1.0,1.0,1.0,0.050906183368869935,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-08-31,120,2020-09-30,False,3761,3761,22,22,1.0,3974.0,256,54,54,0,0,1.0,1.0,1.0,0.06806700345652753,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-09-30,120,2020-10-30,False,3780,3780,16,16,1.0,4040.0,100,25,25,0,0,1.0,1.0,1.0,0.026455026455026454,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-10-30,120,2020-11-30,False,3802,3802,21,21,1.0,4066.0,87,25,25,0,0,1.0,1.0,1.0,0.02288269331930563,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-11-30,120,2020-12-31,False,3828,3828,23,23,1.0,4086.0,203,32,32,0,0,1.0,1.0,1.0,0.05303030303030303,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2020-12-31,120,2021-01-29,False,3879,3879,20,20,1.0,4139.0,200,30,30,0,0,0.9999871100799175,1.0,1.0,0.051559680329981955,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-01-29,120,2021-02-26,False,3922,3922,15,15,1.0,4171.0,107,23,23,0,0,1.0,1.0,1.0,0.027281998980112188,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-02-26,120,2021-03-31,False,3971,3971,23,23,1.0,4199.0,196,37,37,0,0,0.9998248168788937,0.9994963485268195,0.9994963485268195,0.049357844371694784,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-03-31,120,2021-04-30,False,4028,4028,21,21,1.0,4233.0,192,93,93,0,0,1.0,1.0,1.0,0.047666335650446874,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-04-30,120,2021-05-31,False,4055,4055,18,18,1.0,4286.0,190,104,104,0,0,1.0,1.0,1.0,0.0468557336621455,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-05-31,120,2021-06-30,False,4085,4085,21,21,1.0,4323.0,201,53,53,0,0,1.0,1.0,1.0,0.049204406364749084,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-06-30,120,2021-07-30,False,4120,4120,22,22,1.0,4372.0,165,30,30,0,0,1.0,1.0,1.0,0.04004854368932039,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-07-30,120,2021-08-31,False,4163,4163,22,22,1.0,4415.0,72,30,30,0,0,1.0,1.0,1.0,0.017295219793418207,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-08-31,120,2021-09-30,False,4196,4196,20,20,1.0,4454.0,145,23,23,0,0,0.9998570066730218,0.9997616777883699,0.9997616777883699,0.03455672068636797,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-09-30,120,2021-10-29,False,4249,4249,16,16,1.0,4493.0,106,22,22,0,0,0.9999117439397506,0.9997646505060014,0.9997646505060014,0.02494704636385032,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-10-29,120,2021-11-30,False,4289,4289,22,22,1.0,4524.0,107,20,20,0,0,1.0,1.0,1.0,0.024947540219165308,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-11-30,120,2021-12-31,False,4340,4340,23,23,1.0,4557.0,153,34,34,0,0,1.0,1.0,1.0,0.03525345622119816,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2021-12-31,120,2022-01-28,False,4390,4390,19,19,1.0,4602.0,143,24,24,0,0,1.0,1.0,1.0,0.03257403189066059,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-01-28,120,2022-02-28,False,4433,4433,16,16,1.0,4631.0,74,14,14,0,0,1.0,1.0,1.0,0.01669298443491992,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-02-28,120,2022-03-31,False,4458,4458,23,23,1.0,4646.0,124,22,22,0,0,1.0,1.0,1.0,0.02781516375056079,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-03-31,120,2022-04-29,False,4501,4501,19,19,1.0,4680.0,306,53,53,0,0,0.9999766133841602,1.0,1.0,0.06798489224616752,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-04-29,120,2022-05-31,False,4532,4532,19,19,1.0,4713.0,925,109,109,0,0,1.0,1.0,1.0,0.20410414827890555,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-05-31,120,2022-06-30,False,4521,4521,21,21,1.0,4716.0,142,36,36,0,0,0.9998630728557736,0.9997788099977881,0.9997788099977881,0.031408980314089806,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2022-06-30,120,2022-07-29,False,4555,4555,21,21,1.0,4717.0,105,23,23,0,0,1.0,1.0,1.0,0.02305159165751921,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
