analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2023-03-31,60,neighbor_jaccard_1m,4884,4845,0.007985257985257985,0.19432346099073353,0.15374142214667255,0.0,0.0,0.1724137931034483,0.4675324675324675,0.5697375565610863
2023-04-28,60,neighbor_jaccard_1m,4896,4876,0.004084967320261438,0.19827166895661988,0.15746391069724536,0.0,0.0,0.17425810904071773,0.4894702561875814,0.586756993006993
2023-05-31,60,neighbor_jaccard_1m,4888,4855,0.006751227495908347,0.2840680455110526,0.19493218012783742,0.0,0.0,0.2777777777777778,0.6068215688931041,0.7216452991452992
2023-06-30,60,neighbor_jaccard_1m,4899,4856,0.00877730149010002,0.30181882375451397,0.20233420323635926,0.0,0.0,0.29781257470714795,0.6358766233766233,0.7399759903961584
2023-07-31,60,neighbor_jaccard_1m,4920,4885,0.007113821138211382,0.21407300214673392,0.16836439410602574,0.0,0.0,0.19047619047619047,0.520289592760181,0.6411030478955007
2023-08-31,60,neighbor_jaccard_1m,4955,4902,0.010696266397578204,0.22734652127823524,0.17474611321553088,0.0,0.0,0.20208513396715644,0.5423626710230753,0.6346137685843567
2023-09-28,60,neighbor_jaccard_1m,4998,4924,0.014805922368947578,0.26914038314116706,0.2073953634496709,0.0,0.0,0.2467444613563335,0.631578947368421,0.753749209694415
2023-10-31,60,neighbor_jaccard_1m,5021,4971,0.009958175662218682,0.26961823035325727,0.20425273099816396,0.0,0.0,0.25,0.625,0.7336873156342185
2023-11-30,60,neighbor_jaccard_1m,5044,5009,0.006938937351308485,0.2579096152415414,0.18461983251269912,0.0,0.0,0.25,0.5639160839160836,0.6640821114369506
2023-12-29,60,neighbor_jaccard_1m,5056,5032,0.004746835443037975,0.27624090375547616,0.1878557167549158,0.0,0.0,0.2689655172413793,0.6,0.7137321428571421
2024-01-31,60,neighbor_jaccard_1m,5061,5031,0.005927682276229994,0.18694096502295354,0.17092267049250026,0.0,0.0,0.14814814814814814,0.5263157894736842,0.6697368421052623
2024-02-29,60,neighbor_jaccard_1m,5068,4967,0.019928966061562747,0.08052435453472426,0.10475601045650572,0.0,0.0,0.034482758620689655,0.3024403958614484,0.4044295993739623
